Id,Mobile,Route,Day,StartDate,Location,Postcode,Start,End
1,Taunton,A,Tuesday,4/12/2016,Week Lane,TA22 9JN,10:15,10:45
2,Taunton,A,Tuesday,4/12/2016,Winsford Centre,TA24 7JQ,10:55,11:25
3,Taunton,A,Tuesday,4/12/2016,Folly Cottage,TA24 7JL,11:35,11:55
4,Taunton,A,Tuesday,4/12/2016,Withypool Post Office,TA24 7QP,12:40,13:00
5,Taunton,A,Tuesday,4/12/2016,Sportsman Inn,EX36 3LU,13:20,13:40
6,Taunton,A,Tuesday,4/12/2016,High Street,TA22 9QW,13:55,14:15
7,Taunton,B,Wednesday,4/13/2016,Lower Holworthy,TA22 9NY,9:40,9:50
8,Taunton,B,Wednesday,4/13/2016,Wimbleball Lake,TA22 9NU,10:00,10:20
9,Taunton,B,Wednesday,4/13/2016,George Inn,TA22 9NL,10:25,10:50
10,Taunton,B,Wednesday,4/13/2016,Combeshead,TA22 9LE,10:55,11:05
11,Taunton,B,Wednesday,4/13/2016,Exford School,TA24 7PP,11:25,11:55
12,Taunton,B,Wednesday,4/13/2016,Whiterock,TA24 7JT,12:10,12:20
13,Taunton,B,Wednesday,4/13/2016,Hillcrest,TA24 7SL,12:30,12:40
14,Taunton,B,Wednesday,4/13/2016,Red Deer House,TA24 7JY,13:20,13:35
15,Taunton,B,Wednesday,4/13/2016,West Ley,TA24 7NQ,13:40,13:50
16,Taunton,B,Wednesday,4/13/2016,Mill Lane House,TA24 7NS,14:00,14:15
17,Taunton,B,Wednesday,4/13/2016,Exford Centre,TA24 7PU,14:25,15:00
18,Taunton,B,Wednesday,4/13/2016,Blagdon View,TA24 7ED,15:15,15:35
19,Taunton,B,Wednesday,4/13/2016,Wheddon Cross car park,TA24 7DY,15:40,15:55
20,Taunton,C,Thursday,4/14/2016,Appley Pavilion,TA21 0HH,9:30,9:55
21,Taunton,C,Thursday,4/14/2016,Raddington Mill,TA4 2QW,10:20,10:30
22,Taunton,C,Thursday,4/14/2016,Blackwell Farm,TA4 2QN,10:35,10:40
23,Taunton,C,Thursday,4/14/2016,Gamblyn Cottage,TA4 2DF,10:45,10:55
24,Taunton,C,Thursday,4/14/2016,Roborough,TA4 2JD,11:10,11:30
25,Taunton,C,Thursday,4/14/2016,Middleton Lodge,TA4 2EN,11:45,12:00
26,Taunton,C,Thursday,4/14/2016,Glebe Farm,TA4 3PR,12:25,12:35
27,Taunton,C,Thursday,4/14/2016,Blackdown View lay-by (School),TA2 6TB,13:00,13:15
28,Taunton,D,Friday,4/15/2016,Kingsbridge,TA23 0SH,9:45,10:00
29,Taunton,D,Friday,4/15/2016,Cutcombe School,TA24 7DZ,10:15,10:45
30,Taunton,D,Friday,4/15/2016,Higher Park Lane,TA24 7AG,10:55,11:15
31,Taunton,D,Friday,4/15/2016,Timberscombe School & Playgroup,TA24 7TY,11:30,12:00
32,Taunton,D,Friday,4/15/2016,Cheeky Cherubs Nursery,TA24 5EB,12:50,13:20
33,Taunton,D,Friday,4/15/2016,Butlins- Billy�s All Stars Nursery,TA24 5SH,13:25,13:55
34,Taunton,D,Friday,4/15/2016,Willow Grove ,TA23 0PT,14:10,14:25
35,Taunton,E,Wednesday,4/20/2016,"Bishops Hull Rd, Memorial (Plygrp)",TA1 5HR,9:30,9:45
36,Taunton,E,Wednesday,4/20/2016,Leach�s Field,TA2 8JL,10:05,10:35
37,Taunton,E,Wednesday,4/20/2016,Spaxton School,TA5 1BS,10:55,11:30
38,Taunton,E,Wednesday,4/20/2016,The Cottage (Bottom of hill),TA5 1DR,11:45,11:55
39,Taunton,E,Wednesday,4/20/2016,Broomfield Church,TA5 2EQ,12:05,12:20
40,Taunton,E,Wednesday,4/20/2016,Entrance to Halswell House,TA5 2DE,12:40,13:00
41,Taunton,F,Thursday,4/21/2016,Village Hall,TA3 5QQ,9:35,10:05
42,Taunton,F,Thursday,4/21/2016,Neroche School,TA19 9RG,10:25,11:15
43,Taunton,F,Thursday,4/21/2016,Isle Brewers Garage,TA3 6QN,11:40,11:55
44,Taunton,F,Thursday,4/21/2016,Isle Abbotts Village Hall,TA3 6RR,12:10,12:30
45,Taunton,F,Thursday,4/21/2016,Curry Mallet Post Office,TA3 6SY,12:40,12:55
46,Taunton,F,Thursday,4/21/2016,St Martins Close,TA3 6PW,13:40,14:00
47,Taunton,F,Thursday,4/21/2016,Parsonage Place,TA10 0EW,14:15,14:40
48,Taunton,F,Thursday,4/21/2016,Stoke St Gregory Village Hall,TA3 6EG,15:00,15:40
49,Taunton,F,Thursday,4/21/2016,Stoke Road,TA3 6HW,15:50,16:05
50,Taunton,F,Thursday,4/21/2016,Queens Square,TA3 6JS,16:10,16:40
51,Taunton,G,Friday,4/22/2016,Stockmoor School,TA6 6AH,9:30,10:00
52,Taunton,G,Friday,4/22/2016,Gardens Children�s Centre,TA6 5HT,10:15,10:45
53,Taunton,G,Friday,4/22/2016,College Children�s Centre,TA6 4PZ,10:55,11:55
54,Taunton,G,Friday,4/22/2016,Chedzoy Lane (Pre-school),TA7 8QW,12:05,12:50
55,Taunton,G,Friday,4/22/2016,Stawell Village Hall,TA7 9AE,13:00,13:15
56,Taunton,G,Friday,4/22/2016,"Tapmoor Road, Junction",TA7 9BZ,14:00,14:25
57,Taunton,G,Friday,4/22/2016,Community Centre,TA7 0EX,14:45,15:45
58,Taunton,G,Friday,4/22/2016,"Main Road, Bus Stop",TA7 0NJ,15:55,16:15
59,Taunton,H,Tuesday,4/26/2016,Otterhampton School,TA5 2QS,9:45,10:40
60,Taunton,H,Tuesday,4/26/2016,Harbour,TA5 2QU,10:45,11:05
61,Taunton,H,Tuesday,4/26/2016,Combwich Post Office,TA5 2QW,11:10,11:30
62,Taunton,H,Tuesday,4/26/2016,Captains,TA5 2PY,11:40,11:55
63,Taunton,H,Tuesday,4/26/2016,Ridgeway Lane (Telephone Box),TA5 1TN,12:05,12:20
64,Taunton,H,Tuesday,4/26/2016,Shurton Inn,TA5 1QE,12:35,12:55
65,Taunton,H,Tuesday,4/26/2016,Greyhound Inn,TA5 1QR,13:40,14:10
66,Taunton,H,Tuesday,4/26/2016,Town Close No 30,TA5 1RN,14:15,14:40
67,Taunton,H,Tuesday,4/26/2016,Brook Street,TA5 2HP,15:00,15:30
68,Taunton,I,Wednesday,4/27/2016,Dinhams Farm Corner,TA3 5JG,9:35,9:45
69,Taunton,I,Wednesday,4/27/2016,Hatch Beauchamp Village Hall,TA3 6SQ,9:55,10:20
70,Taunton,I,Wednesday,4/27/2016,Capland,TA3 6TW,10:20,10:40
71,Taunton,I,Wednesday,4/27/2016,Ilton School,TA19 9EX,10:55,11:30
72,Taunton,I,Wednesday,4/27/2016,Merrifields,TA19 9HA,11:40,11:50
73,Taunton,I,Wednesday,4/27/2016,Tatworth Memorial Hall,TA20 2QA,13:00,13:20
74,Taunton,I,Wednesday,4/27/2016,Davies Close,TA20 4JL,13:40,14:00
75,Taunton,I,Wednesday,4/27/2016,Winsham School & Bell Inn,TA20 4HU,14:10,14:40
76,Taunton,I,Wednesday,4/27/2016,Higher Chillington,TA19 0PT,14:55,15:10
77,Taunton,J,Thursday,4/28/2016,Children�s Centre,TA23 0EX,9:45,10:00
78,Taunton,J,Thursday,4/28/2016,Roadwater Church,TA23 0RB,10:30,10:50
79,Taunton,J,Thursday,4/28/2016,Higher Rodhuish Farm,TA24 6QL,11:00,11:20
80,Taunton,J,Thursday,4/28/2016,The Causeway,TA24 6PZ,11:30,11:50
81,Taunton,J,Thursday,4/28/2016,Carantoc Place,TA24 6NE,12:00,12:15
82,Taunton,J,Thursday,4/28/2016,Blue Anchor Garage,TA24 6JZ,12:25,12:40
83,Taunton,J,Thursday,4/28/2016,Hill Top,TA5 1SR,13:45,14:05
84,Taunton,J,Thursday,4/28/2016,Frog Street T junction,TA5 1EJ,14:10,14:25
85,Taunton,K,Friday,4/29/2016,Slough,TA3 5RW,9:15,9:25
86,Taunton,K,Friday,4/29/2016,Farmers Arms,TA3 5RS,9:30,9:40
87,Taunton,K,Friday,4/29/2016,Allen�s Farm,TA3 6AG,10:00,10:20
88,Taunton,K,Friday,4/29/2016,Barrington School,TA19 0JR,10:45,11:00
89,Taunton,K,Friday,4/29/2016,Buttle Close,TA19 0LU,11:10,11:25
90,Taunton,K,Friday,4/29/2016,Opposite Ruskway Lane,TA10 0BN,11:40,11:50
91,Taunton,K,Friday,4/29/2016,Homelea,TA7 0SA,12:50,13:00
92,Taunton,K,Friday,4/29/2016,Outwood Rd Station Post Box,TA3 5AJ,13:20,13:35
93,Taunton,K,Friday,4/29/2016,Durston Village Hall,TA3 5AG,13:40,13:55
94,Taunton,L,Tuesday,4/5/2016,Amberley,TA3 7SG,9:30,9:45
95,Taunton,L,Tuesday,4/5/2016,Pear Tree Cottage,TA3 7QB,10:00,10:20
96,Taunton,L,Tuesday,4/5/2016,Churchinford Village Hall & Playgroup,TA3 7RG,10:30,11:15
97,Taunton,L,Tuesday,4/5/2016,Old School,TA21 0BJ,11:40,12:00
98,Taunton,L,Tuesday,4/5/2016,Hillfarance Church,TA4 1AW,12:10,12:30
99,Taunton,L,Tuesday,4/5/2016,Cotford St Luke School,TA4 1JD,13:15,13:45
100,Taunton,L,Tuesday,4/5/2016,Lydeard St Lawrence School,TA4 3SF,14:00,14:45
101,Taunton,L,Tuesday,4/5/2016,Old Post Office,TA4 3SB,14:50,15:10
102,Taunton,M,Friday,4/6/2016,Crowcombe School,TA4 4AA,10:00,10:30
103,Taunton,M,Friday,4/6/2016,Hagleys Green,TA4 4AH,10:40,10:50
104,Taunton,M,Friday,4/6/2016,Stogumber School,TA4 3TQ,11:00,11:30
105,Taunton,M,Friday,4/6/2016,Notley Arms,TA4 4JB,11:40,12:10
106,Taunton,M,Friday,4/6/2016,Castlake Farm,TA4 3TT,12:25,12:35
107,Taunton,M,Friday,4/6/2016,Higher Vexford Farm,TA4 3QF,12:45,12:55
108,Taunton,M,Friday,4/6/2016,Station,TA4 4PA,13:10,13:40
109,Wells,A,Wednesday,4/13/2016,South Barrow Church,BA22 7LN,9:25,9:45
110,Wells,A,Wednesday,4/13/2016,North Cadbury Village Hall,BA22 7DW,10:00,10:20
111,Wells,A,Wednesday,4/13/2016,Chapel Road (Telephone Box),BA22 7EX,10:25,10:40
112,Wells,A,Wednesday,4/13/2016,Sutton Montis Church,BA22 7HE,10:50,11:05
113,Wells,A,Wednesday,4/13/2016,Queen Camel Village Hall,BA22 7NQ,11:15,11:35
114,Wells,A,Wednesday,4/13/2016,Townsend,BA22 8BP,11:45,12:05
115,Wells,A,Wednesday,4/13/2016,Road to Rimpton House,BA22 8AQ,12:10,12:40
116,Wells,A,Wednesday,4/13/2016,Red Tile Farm,BA22 8DF,13:30,13:40
117,Wells,A,Wednesday,4/13/2016,Hales Meadow,BA21 5TA,13:50,14:05
